7,3261,2024-10-14 13:00:00
18,4435,2025-01-11 13:00:00
14,2830,2024-12-11 13:00:00
15,4804,2024-11-20 13:00:00
18,2727,2025-01-11 13:00:00
20,2015,2024-12-02 14:45:00
5,1077,2024-12-09 14:45:00
2,4250,2024-11-14 11:15:00
7,2827,2024-10-25 13:00:00
18,4025,2024-10-20 14:45:00
22,4069,2024-12-27 11:15:00
1,1912,2024-11-21 13:00:00
7,4748,2024-10-14 13:00:00
2,5735,2024-11-11 11:15:00
5,1477,2024-10-21 10:00:00
14,3232,2024-12-06 13:00:00
6,1077,2024-10-23 11:15:00
1,3699,2024-11-06 14:45:00
3,5213,2024-10-25 13:00:00
17,2613,2024-10-25 11:15:00
18,2783,2025-01-11 13:00:00
15,2613,2024-10-31 13:00:00
6,5489,2025-01-07 13:00:00
22,4484,2024-12-03 13:00:00
20,4366,2024-11-15 13:00:00
5,3043,2024-12-09 14:45:00
17,5370,2024-10-28 11:15:00
20,5308,2024-12-02 14:45:00
6,2592,2025-01-07 13:00:00
18,1039,2024-10-22 14:45:00
5,5974,2024-10-21 10:00:00
4,3196,2024-11-20 14:45:00
20,5442,2024-11-15 13:00:00
22,3495,2024-12-27 11:15:00
17,4262,2024-10-28 11:15:00
2,3651,2024-12-30 10:00:00
15,4262,2024-11-20 13:00:00
4,3037,2024-10-11 10:00:00
3,2678,2024-11-28 14:45:00
21,1976,2024-12-13 13:00:00
15,3029,2024-10-31 13:00:00
14,2954,2024-12-11 13:00:00
3,3001,2024-11-28 14:45:00
4,5504,2024-10-11 10:00:00
20,5049,2024-12-23 14:45:00
20,5766,2024-11-15 13:00:00
1,1024,2024-11-21 13:00:00
4,5213,2024-11-20 14:45:00
20,5143,2024-11-15 13:00:00
20,4069,2024-12-02 14:45:00
8,1991,2024-11-18 14:45:00
5,4960,2024-12-09 14:45:00
20,1441,2024-12-02 14:45:00
21,3872,2024-12-13 13:00:00
7,3043,2024-10-09 11:15:00
20,3635,2024-11-15 13:00:00
8,2325,2024-11-18 14:45:00
22,2496,2024-12-22 10:00:00
20,1082,2024-12-23 14:45:00
8,3731,2024-12-15 13:00:00
16,5370,2024-11-13 11:15:00
5,1988,2024-12-09 14:45:00
8,4501,2024-12-15 13:00:00
2,2654,2024-11-14 11:15:00
7,1988,2024-10-09 11:15:00
1,3585,2024-10-28 14:45:00
21,1241,2025-01-03 14:45:00
6,4037,2024-10-23 11:15:00
5,2040,2024-10-21 10:00:00
20,5718,2024-12-23 14:45:00
20,1074,2024-12-02 14:45:00
17,2787,2024-10-25 11:15:00
4,2678,2024-10-11 10:00:00
18,1755,2024-10-20 14:45:00
8,1419,2024-12-15 13:00:00
5,2863,2024-12-09 14:45:00
15,5703,2024-10-31 13:00:00
17,4435,2024-10-25 11:15:00
3,5688,2024-10-25 13:00:00
2,1148,2024-11-11 11:15:00
21,2015,2024-12-13 13:00:00
18,3029,2024-10-22 14:45:00
20,2691,2024-11-15 13:00:00
6,5601,2025-01-07 13:00:00
1,3196,2024-11-06 14:45:00
1,4530,2024-11-06 14:45:00
22,4902,2024-12-22 10:00:00
14,4001,2024-10-18 10:00:00
8,1077,2024-11-18 14:45:00
1,1897,2024-10-28 14:45:00
20,2457,2024-11-15 13:00:00
6,3910,2024-10-23 11:15:00
6,1991,2024-10-09 11:15:00
7,3003,2024-12-20 14:45:00
4,1904,2024-10-11 10:00:00
2,5947,2025-01-10 13:00:00
17,2783,2024-10-25 11:15:00
7,3731,2024-12-20 14:45:00
5,5386,2024-12-09 14:45:00
6,1464,2024-10-23 11:15:00
1,1148,2024-11-21 13:00:00
8,1122,2024-12-15 13:00:00
22,1786,2024-12-27 11:15:00
16,3540,2024-11-07 11:15:00
18,3540,2024-10-22 14:45:00
17,5238,2025-01-01 13:00:00
17,1039,2025-01-01 13:00:00
16,2787,2024-11-13 11:15:00
16,2855,2024-12-31 10:00:00
7,3248,2024-10-14 13:00:00
18,2855,2024-10-22 14:45:00
17,5925,2025-01-01 13:00:00
15,2857,2024-11-20 13:00:00
21,1229,2025-01-03 14:45:00
2,4022,2025-01-10 13:00:00
