WebinarID,Price,Webinar_date,LanguageID,TranslatorID,EmployeeID,OnlineLink,VideoLink,WebinarName
1001,149,2024-12-28 16:45:00,6,,1065,https://teams.microsoft.com/l/meetup-join/i8jc29ngat24h5t09adf,https://vimeo.com/wyc5tuoebi3yhu42b3kalwkc3d3cg67841q35uvb,Głębokie zanurzenie w struktury danych i algorytmy
1002,29.99,2025-01-04 16:45:00,6,,1073,https://teams.microsoft.com/l/meetup-join/qdcqfgyhgqtl4wkihas0,https://vimeo.com/gbgyjmea17mbh7tisouowe0eqm1tlqdz30gn4hff,Podstawy Kubernetes i Docker - jak zaczynać?
1003,99,2025-02-07 20:15:00,2,104,1085,https://teams.microsoft.com/l/meetup-join/lfmjbqv4u64t1422mpyl,,Wprowadzenie do inżynierii danych i procesów ETL
1004,99,2025-02-23 18:30:00,4,105,1066,https://teams.microsoft.com/l/meetup-join/0ihlw99i7t6m8p9dbrs3,,Tworzenie bloga osobistego z Jekyll i GitHub Pages
1005,99,2025-04-08 20:15:00,5,103,1085,https://teams.microsoft.com/l/meetup-join/3myvpi68bo0elt8ujmvf,,Budowanie modeli AI z Scikit-Learn
1006,99,2025-01-19 16:45:00,6,,1056,https://teams.microsoft.com/l/meetup-join/ersboutc2unf90wgdtkb,,Projektowanie i tworzenie aplikacji mobilnych z React Native
1007,99,2024-12-17 18:30:00,6,,1037,https://teams.microsoft.com/l/meetup-join/otjfs4spy1os9l4xo6mx,https://vimeo.com/bkwh3jbob0b5zhtjjt1xn0q0cxxykal599l2ao6x,Budowanie aplikacji full-stack z Node.js i Express
1008,99,2025-02-14 20:15:00,6,,1072,https://teams.microsoft.com/l/meetup-join/l81k68vdr20uresvpg8q,,Budowanie interaktywnych dashboardów z Plotly i Dash
1009,99,2025-01-05 18:30:00,6,,1078,https://teams.microsoft.com/l/meetup-join/pt2h2sdf1pwst9umejgi,https://vimeo.com/zy89rrrrmm1ecxiv963y7ec0uk0wxo4ro03j39gq,Wprowadzenie do UX/UI w projektowaniu aplikacji
1010,99,2025-04-02 20:15:00,6,,1078,https://teams.microsoft.com/l/meetup-join/a42i7v2u2wkzu06q3bsj,,Eksploracja chmurowych usług obliczeniowych z AWS
1011,149,2024-12-15 20:15:00,6,,1049,https://teams.microsoft.com/l/meetup-join/zpizfvdmk7twcrnjz0o0,https://vimeo.com/6tjvr668bpuc2qkcvwa8pzijkjunz8urt3nw9xsh,Technologia blockchain i jej zastosowania w IT
1012,99,2025-02-08 16:45:00,6,,1086,https://teams.microsoft.com/l/meetup-join/m4g0sez4b9ydpt4pdeac,,Optymalizacja wydajności aplikacji w Pythonie
1013,29.99,2025-01-11 18:30:00,6,,1092,https://teams.microsoft.com/l/meetup-join/aq0ertavckytnzjd3bro,https://vimeo.com/hix1d4gfqzvztb3awnfohm31h4u34hy58llmi1av,Tworzenie aplikacji webowych z Angular
1014,149,2025-01-29 16:45:00,6,,1006,https://teams.microsoft.com/l/meetup-join/2enghn8qjr122q7hxe0c,,Zarządzanie projektem IT z wykorzystaniem metod Agile
1015,29.99,2025-03-01 18:30:00,6,,1056,https://teams.microsoft.com/l/meetup-join/scw7h435g8kuntuqi5v4,,Programowanie funkcyjne w JavaScript
1016,29.99,2025-02-04 18:30:00,1,100,1031,https://teams.microsoft.com/l/meetup-join/192iye0o9b6e6hhhtchj,,Rozwój aplikacji webowych z JavaScript i React
1017,149,2025-04-04 16:45:00,6,,1099,https://teams.microsoft.com/l/meetup-join/4ntehfszyr04ft972cp9,,Skuteczne zapytania SQL do analizy danych
1018,149,2024-12-10 18:30:00,5,108,1004,https://teams.microsoft.com/l/meetup-join/ggvgd6dtx22i94lb7v7h,https://vimeo.com/l6dtmahainheht1uny2p1ezcdukeadtzipxpeisg,Analiza danych z użyciem R i Python
1019,99,2024-12-12 16:45:00,6,,1087,https://teams.microsoft.com/l/meetup-join/qvcnugymbbbzkkpi2k6n,https://vimeo.com/n1tugmzchg8pvl4y5aww0rwjtjgqi9maremq5t5i,Wprowadzenie do testowania oprogramowania automatycznego
1020,29.99,2024-12-14 18:30:00,2,104,1085,https://teams.microsoft.com/l/meetup-join/fxqzhmqpg3sg4t1ohrx0,https://vimeo.com/4pwdlykv2q84xoaigrv4q3woemr7m96dkzijhwea,Zrozumienie DevOps: od rozwoju po wdrożenie
