1002,1042,NULL
1006,1029,2025-01-06
1007,1099,2024-12-16
1002,1070,NULL
1007,1060,2025-01-14
1006,1066,2025-01-02
1003,1085,NULL
1002,1064,NULL
1007,1086,2025-01-10
1002,1055,NULL
1002,1082,NULL
1003,1056,NULL
1009,1002,2025-01-07
1005,1091,2025-01-14
1008,1000,2025-01-14
1005,1013,2025-01-11
1002,1015,NULL
1001,1073,NULL
1010,1074,NULL
1006,1057,2025-01-05
1004,1059,NULL
1005,1010,2024-12-24
1006,1022,2025-01-12
1007,1018,2025-01-09
1006,1090,2025-01-09
1009,1063,2024-12-17
1010,1083,NULL
1003,1054,NULL
1008,1019,2025-01-12
1007,1080,2025-01-11
1001,1024,NULL
1003,1089,NULL
1005,1005,2025-01-09
1008,1038,2024-12-29
1009,1011,2025-01-01
1001,1050,NULL
1007,1081,2024-12-29
1004,1097,NULL
1010,1049,NULL
1010,1009,NULL
1003,1092,NULL
1006,1023,2025-01-02
1010,1044,NULL
1005,1045,2025-01-13
1006,1094,2024-12-26
1005,1069,2024-12-18
1002,1068,NULL
1005,1072,2024-12-17
1009,1058,2024-12-31
1009,1027,2025-01-09
