1,29.99,2025-01-07,1002
2,1499,2024-10-06,1004
3,,2025-01-14,1008
4,29.99,2025-01-11,1012
5,480,2024-09-28,1012
6,599,2024-09-30,1016
7,1499,2024-10-04,1018
8,480,2023-09-22,1018
9,340,2024-06-15,1018
10,340,2024-01-10,1018
11,440,2025-01-06,1018
12,480,2023-09-26,1019
13,390,2024-06-08,1019
14,320,2024-01-09,1019
15,340,2025-01-17,1019
16,520,2023-09-25,1020
17,420,2024-06-14,1020
18,430,2024-01-18,1020
19,350,2025-01-06,1020
20,530,2024-09-22,1021
21,480,2023-09-23,1022
22,390,2024-06-09,1022
23,320,2024-01-10,1022
24,340,2025-01-11,1022
25,29.99,2025-01-11,1024
26,1499,2024-10-03,1024
27,29.99,2025-01-08,1031
28,1499,2024-10-06,1039
29,999,2024-11-13,1039
30,1499,2024-10-05,1041
31,,2025-01-14,1042
32,520,2024-09-25,1042
33,480,2023-09-26,1043
34,390,2024-06-14,1043
35,320,2024-01-12,1043
36,340,2025-01-13,1043
37,,2025-01-14,1046
38,520,2023-09-24,1049
39,420,2024-06-14,1049
40,430,2024-01-18,1049
41,350,2025-01-18,1049
42,480,2023-09-28,1050
43,390,2024-06-17,1050
44,320,2024-01-17,1050
45,340,2025-01-18,1050
46,480,2023-09-24,1052
47,340,2024-06-10,1052
48,340,2024-01-12,1052
49,440,2025-01-09,1052
50,530,2023-09-25,1057
51,380,2024-06-17,1057
52,410,2024-01-06,1057
53,360,2025-01-08,1057
54,520,2023-09-25,1060
55,420,2024-06-06,1060
56,430,2024-01-10,1060
57,350,2025-01-09,1060
58,300,2024-01-18,1060
59,430,2025-01-15,1060
60,,2025-01-14,1063
61,,2025-01-14,1074
62,999,2024-11-13,1074
63,599,2024-10-03,1077
64,480,2024-09-28,1078
65,,2025-01-14,1080
66,530,2023-09-23,1081
67,380,2024-06-06,1081
68,410,2024-01-07,1081
69,360,2025-01-10,1081
70,999,2024-11-12,1082
71,1499,2024-10-05,1090
72,99,2024-12-28,1092
73,,2025-01-14,1094
74,480,2023-09-24,1094
75,390,2024-06-10,1094
76,320,2024-01-11,1094
77,340,2025-01-12,1094
78,510,2023-09-22,1097
79,320,2024-06-14,1097
80,300,2024-01-09,1097
81,430,2025-01-09,1097
82,480,2024-09-30,1104
83,510,2024-09-28,1105
84,599,2024-10-06,1119
85,99,2025-01-04,1120
86,480,2023-09-29,1121
87,340,2024-06-16,1121
88,340,2024-01-18,1121
89,440,2025-01-15,1121
90,599,2024-10-06,1122
91,520,2024-09-26,1124
92,480,2024-09-23,1133
93,480,2023-09-27,1136
94,390,2024-06-13,1136
95,320,2024-01-06,1136
96,340,2025-01-11,1136
97,599,2024-10-02,1138
98,520,2024-09-28,1139
99,29.99,2024-12-27,1143
100,530,2024-09-26,1143
101,510,2023-09-28,1145
102,320,2024-06-06,1145
103,300,2024-01-16,1145
104,430,2025-01-13,1145
105,1499,2024-10-04,1148
106,599,2024-10-08,1154
107,480,2023-09-27,1163
108,390,2024-06-11,1163
109,320,2024-01-14,1163
110,340,2025-01-13,1163
111,480,2023-09-21,1175
112,390,2024-06-17,1175
113,320,2024-01-07,1175
114,340,2025-01-17,1175
115,29.99,2025-01-01,1176
116,99,2024-12-31,1181
117,,2025-01-14,1182
118,,2025-01-14,1185
119,,2025-01-14,1191
120,1499,2024-10-05,1192
121,,2025-01-14,1193
122,520,2023-09-25,1194
123,420,2024-06-08,1194
124,430,2024-01-18,1194
125,350,2025-01-15,1194
126,4999,2024-10-03,1195
127,530,2023-09-25,1197
128,380,2024-06-12,1197
129,410,2024-01-11,1197
130,360,2025-01-15,1197
131,,2025-01-14,1202
132,,2025-01-14,1203
133,510,2024-09-30,1204
134,480,2024-09-25,1216
135,149,2024-12-12,1217
136,,2025-01-14,1219
137,480,2024-09-24,1221
138,480,2024-09-29,1223
139,599,2024-10-07,1227
140,999,2024-11-10,1229
141,480,2024-09-25,1229
142,4999,2024-10-08,1230
143,,2025-01-14,1231
144,149,2025-01-10,1233
145,149,2024-12-18,1237
146,480,2024-09-22,1237
147,,2025-01-14,1239
148,149,2024-12-31,1241
149,999,2024-11-13,1241
150,530,2023-09-22,1244
151,380,2024-06-07,1244
152,410,2024-01-06,1244
153,360,2025-01-17,1244
154,4999,2024-10-03,1245
155,149,2025-01-09,1246
156,149,2025-01-02,1252
157,530,2024-09-22,1252
158,,2025-01-14,1261
159,480,2024-09-24,1266
160,599,2024-10-06,1294
161,520,2024-09-30,1297
162,480,2023-09-22,1299
163,390,2024-06-13,1299
164,320,2024-01-17,1299
165,340,2025-01-15,1299
166,530,2023-09-30,1302
167,380,2024-06-16,1302
168,410,2024-01-10,1302
169,360,2025-01-13,1302
170,,2025-01-14,1304
171,520,2023-09-30,1305
172,420,2024-06-18,1305
173,430,2024-01-13,1305
174,350,2025-01-16,1305
175,,2025-01-14,1311
176,480,2024-09-24,1315
177,,2025-01-14,1318
178,480,2024-09-22,1322
179,530,2023-09-27,1327
180,380,2024-06-10,1327
181,410,2024-01-17,1327
182,360,2025-01-07,1327
183,149,2025-01-05,1343
184,520,2024-09-28,1346
185,510,2023-09-22,1350
186,320,2024-06-13,1350
187,300,2024-01-09,1350
188,430,2025-01-17,1350
189,4999,2024-10-06,1354
190,480,2023-09-21,1355
191,390,2024-06-06,1355
192,320,2024-01-15,1355
193,340,2025-01-09,1355
194,,2025-01-14,1365
195,999,2024-11-12,1366
196,510,2024-09-29,1366
197,1499,2024-10-01,1367
198,1499,2024-10-09,1371
199,470,2023-09-21,1372
200,380,2024-06-06,1372
201,410,2024-01-14,1372
202,360,2025-01-18,1372
203,480,2024-09-25,1372
204,380,2024-06-13,1372
205,410,2024-01-16,1372
206,360,2025-01-18,1372
207,530,2024-09-21,1374
208,520,2024-09-24,1383
209,480,2024-09-22,1386
210,,2025-01-14,1387
211,510,2024-09-28,1387
