1001,29.99,2025-01-28 20:15:00,6,,1013,https://teams.microsoft.com/l/meetup-join/bafrnjq7poj3kas7pe29,,Projektowanie i tworzenie aplikacji mobilnych z React Native
1002,99,2024-12-25 18:30:00,6,,1072,https://teams.microsoft.com/l/meetup-join/8q66diiribf90pzlpeue,https://vimeo.com/czemuji0na3pf79bi5p2nvs7qxtf1ibqgwz29nz4,Budowanie skalowalnych aplikacji webowych z Django
1003,29.99,2024-12-09 16:45:00,6,,1028,https://teams.microsoft.com/l/meetup-join/70r970jdzrqbq4wndgu9,https://vimeo.com/b41ftynk2g7y6u521isiocz20fro973qmwcefjmf,Wprowadzenie do sztucznej inteligencji i uczenia głębokiego z TensorFlow
1004,149,2025-03-07 18:30:00,6,,1067,https://teams.microsoft.com/l/meetup-join/dao7cpa7o0942eubw1rm,,Eksploracja chmurowych usług obliczeniowych z AWS
1005,149,2024-12-26 18:30:00,6,,1083,https://teams.microsoft.com/l/meetup-join/7bmp04t6ce9ouwvyfhnx,https://vimeo.com/aj8upxk4n302p28k1uu1cwfzwf6mupfeclhdwx0r,Tworzenie API z użyciem Flask i Pythona
1006,99,2024-12-22 16:45:00,6,,1057,https://teams.microsoft.com/l/meetup-join/edds62i7pq3gmlja8dcx,https://vimeo.com/f5a2go570hey13kzbt9n3n1nlfs7ln031odt22x9,Tworzenie aplikacji webowych z Angular
1007,99,2024-12-31 18:30:00,6,,1067,https://teams.microsoft.com/l/meetup-join/cgfhzwogmxi13hq8ickm,https://vimeo.com/x55nofmmj8eu1iekoyzdwul4m3a3i7ltcummne2w,Technologia blockchain i jej zastosowania w IT
1008,99,2025-01-24 16:45:00,6,,1009,https://teams.microsoft.com/l/meetup-join/ihx9502d7cp8zxsl02pp,,Uczenie maszynowe dla początkujących: przewodnik praktyczny
1009,149,2025-03-14 16:45:00,6,,1024,https://teams.microsoft.com/l/meetup-join/f9j271exqo75jqz5hjw5,,Zarządzanie projektem IT z wykorzystaniem metod Agile
1010,99,2025-01-25 18:30:00,6,,1052,https://teams.microsoft.com/l/meetup-join/npj7lxq4lcjhmxhzsa66,,Zabezpieczanie aplikacji webowych według najlepszych praktyk OWASP
1011,29.99,2025-03-21 18:30:00,2,100,1057,https://teams.microsoft.com/l/meetup-join/tofi2m7ur4rtseeqm6t0,,Wprowadzenie do programowania w Pythonie - podstawy i zaawansowane techniki
1012,99,2025-01-26 18:30:00,2,105,1021,https://teams.microsoft.com/l/meetup-join/8fz8tndhi7tg3ekjxnoz,,Budowanie modeli AI z Scikit-Learn
1013,29.99,2025-03-21 16:45:00,6,,1081,https://teams.microsoft.com/l/meetup-join/lgwkbd5etffz83hsa95w,,Wprowadzenie do testowania oprogramowania automatycznego
1014,249,2025-02-10 18:30:00,6,,1088,https://teams.microsoft.com/l/meetup-join/vz5hi3ljw35lvw4a0wgr,,Podstawy Kubernetes i Docker - jak zaczynać?
1015,99,2024-12-12 18:30:00,6,,1064,https://teams.microsoft.com/l/meetup-join/dyo0s38qe6fn6cwwkoc8,https://vimeo.com/t2v789sojvqsxflynq53wjsa6rg4h6kx1hyx396m,Programowanie funkcyjne w JavaScript
1016,149,2025-01-28 16:45:00,6,,1062,https://teams.microsoft.com/l/meetup-join/94wo1v3t2gohroxk2pfn,,Budowanie aplikacji full-stack z Node.js i Express
1017,29.99,2025-02-05 20:15:00,6,,1017,https://teams.microsoft.com/l/meetup-join/i5vktujuxvhhxli36pf2,,Eksploracja Internetu rzeczy (IoT) i obliczeń brzegowych
1018,99,2025-03-16 16:45:00,6,,1079,https://teams.microsoft.com/l/meetup-join/ykmuk0h4hakwjdq49b0o,,Analiza danych z użyciem R i Python
1019,99,2025-03-24 16:45:00,6,,1056,https://teams.microsoft.com/l/meetup-join/vx2nxvn8sadzq9vnxp9q,,Rozwój aplikacji webowych z JavaScript i React
1020,99,2025-01-23 20:15:00,5,104,1089,https://teams.microsoft.com/l/meetup-join/v02ndobmbc6catbijd68,,Zrozumienie DevOps: od rozwoju po wdrożenie
