172,2,4,2024-05-21 14:45:00,https://teams.microsoft.com/l/meetup-join/ogkazqfko02lgi4k0sul,6,,49.99,
430,2,16,2024-10-03 10:00:00,https://teams.microsoft.com/l/meetup-join/i8glq7tmv8cnjv70aqgy,1,107,49.99,
618,1,5,2025-01-26 14:45:00,,6,,59.99,3
168,2,3,2024-05-18 13:00:00,https://teams.microsoft.com/l/meetup-join/8kmj9k42n8bxtn1vz8f6,6,,29.99,
422,2,16,2024-11-20 14:45:00,https://teams.microsoft.com/l/meetup-join/2671oj5tf7u370gafmtg,5,109,49.99,
709,1,17,2025-01-24 13:00:00,,6,,59.99,19
186,2,5,2024-10-01 11:15:00,https://teams.microsoft.com/l/meetup-join/mm7n3aczpwkdeb2zakk3,6,,29.99,
416,2,15,2024-12-10 13:00:00,https://teams.microsoft.com/l/meetup-join/0gfm9x4gefwqgywzaowa,1,102,59.99,
413,2,15,2023-12-03 10:00:00,https://teams.microsoft.com/l/meetup-join/i6z5vr72j1k5jxdw1zrn,6,,29.99,
133,2,2,2024-11-25 13:00:00,https://teams.microsoft.com/l/meetup-join/n6m4ugd1qhwmox2amvsl,1,101,49.99,
645,1,9,2024-06-28 13:00:00,,6,,59.99,7
385,2,14,2024-04-30 10:00:00,https://teams.microsoft.com/l/meetup-join/kdax8503z3ruwfpx5fhb,6,,29.99,
405,2,15,2023-11-13 10:00:00,https://teams.microsoft.com/l/meetup-join/58bwbdvdxtyg1nhfdlcz,5,104,59.99,
545,2,22,2024-11-17 13:00:00,https://teams.microsoft.com/l/meetup-join/r489xvqxaccxgqhf0sv3,6,,29.99,
150,2,2,2023-10-09 11:15:00,https://teams.microsoft.com/l/meetup-join/np1j9gbz4kn8q1obt96j,6,,29.99,
565,2,23,2024-04-09 13:00:00,https://teams.microsoft.com/l/meetup-join/ayxu6bnup9jw7daco4t7,6,,59.99,
453,2,17,2023-10-09 11:15:00,https://teams.microsoft.com/l/meetup-join/mmkdy18saz92gfdx5ru3,6,,49.99,
716,1,21,2024-01-21 13:00:00,,2,109,49.99,20
464,2,17,2025-01-20 10:00:00,https://teams.microsoft.com/l/meetup-join/8orcu3oy4lw1r87iaeu2,6,,29.99,
483,2,19,2024-04-14 13:00:00,https://teams.microsoft.com/l/meetup-join/h286puvzoqx3tpcftz4h,6,,59.99,
718,1,21,2024-01-27 13:00:00,,4,101,49.99,20
707,1,20,2025-01-28 14:45:00,,6,,59.99,18
160,2,3,2024-03-06 13:00:00,https://teams.microsoft.com/l/meetup-join/oo2y3o9a9biv78hkjyrl,6,,49.99,
567,2,23,2024-06-13 13:00:00,https://teams.microsoft.com/l/meetup-join/1wjnpaqtqn4aee798kvp,4,100,29.99,
668,1,15,2024-01-23 13:00:00,,4,100,59.99,11
738,1,25,2025-01-24 10:00:00,,6,,49.99,23
118,2,1,2023-11-01 14:45:00,https://teams.microsoft.com/l/meetup-join/2k9c7ebfpb0lc3saejig,6,,59.99,
124,2,2,2023-11-08 14:45:00,https://teams.microsoft.com/l/meetup-join/1w66sdi6r49mugfw3ze0,6,,49.99,
542,2,22,2023-12-12 14:45:00,https://teams.microsoft.com/l/meetup-join/30s7zh4p65h1fovcuyea,6,,49.99,
244,2,7,2024-10-04 10:00:00,https://teams.microsoft.com/l/meetup-join/hs787i0xfhykmzzs2pjr,5,109,59.99,
589,2,25,2024-12-08 14:45:00,https://teams.microsoft.com/l/meetup-join/ev4yr6k21lft9est8f94,6,,59.99,
293,2,10,2023-10-10 10:00:00,https://teams.microsoft.com/l/meetup-join/3hclskonduapg8r75jon,6,,49.99,
553,2,22,2024-11-18 14:45:00,https://teams.microsoft.com/l/meetup-join/uegckt45nyf01xllnwg1,6,,29.99,
641,1,10,2024-01-28 14:45:00,,6,,49.99,6
700,1,18,2024-06-27 13:00:00,,6,,29.99,17
535,2,22,2024-11-25 10:00:00,https://teams.microsoft.com/l/meetup-join/4f6rrc2zjs9p1emsfi8l,6,,29.99,
625,1,2,2025-01-27 11:15:00,,6,,49.99,4
640,1,10,2024-01-26 11:15:00,,6,,29.99,6
656,1,7,2025-01-26 14:45:00,,6,,49.99,9
393,2,15,2023-10-23 14:45:00,https://teams.microsoft.com/l/meetup-join/30ith5l3qsws0r1lethy,6,,49.99,
401,2,15,2024-01-06 14:45:00,https://teams.microsoft.com/l/meetup-join/17b5ydc5cuadomrb9ycn,6,,49.99,
678,1,15,2025-01-28 11:15:00,,6,,29.99,13
684,1,11,2025-01-23 14:45:00,,6,,49.99,14
600,2,25,2023-10-29 10:00:00,https://teams.microsoft.com/l/meetup-join/vl739gkelpr7khtw4p72,6,,59.99,
670,1,13,2024-06-23 11:15:00,,3,109,49.99,12
513,2,21,2024-12-26 10:00:00,https://teams.microsoft.com/l/meetup-join/w5gq3795o9ltlar6vviu,6,,49.99,
623,1,5,2025-01-25 10:00:00,,6,,59.99,3
674,1,14,2024-06-28 14:45:00,,6,,49.99,12
564,2,23,2024-04-08 14:45:00,https://teams.microsoft.com/l/meetup-join/tdr4x427kl0nconzcdn1,6,,29.99,
188,2,5,2025-01-09 13:00:00,https://teams.microsoft.com/l/meetup-join/ouwbmmy6sqnmhagsrrcv,6,,49.99,
255,2,7,2023-12-27 14:45:00,https://teams.microsoft.com/l/meetup-join/6oocszkw6ufommgy1rp8,6,,29.99,
266,2,8,2024-02-27 10:00:00,https://teams.microsoft.com/l/meetup-join/dwd0alv8zocui7xh3nfw,6,,59.99,
635,1,7,2024-01-21 10:00:00,,6,,49.99,5
144,2,2,2023-11-13 11:15:00,https://teams.microsoft.com/l/meetup-join/oxanj6rndw38xpui88fe,6,,29.99,
163,2,3,2024-02-22 11:15:00,https://teams.microsoft.com/l/meetup-join/0lsvyk18c8yrhs8ukdm2,6,,59.99,
713,1,17,2025-01-25 14:45:00,,6,,59.99,19
547,2,22,2024-10-18 10:00:00,https://teams.microsoft.com/l/meetup-join/y7yldxih9qfjg357lbr2,6,,59.99,
181,2,5,2023-12-24 14:45:00,https://teams.microsoft.com/l/meetup-join/wd14yd84554g101npf43,6,,59.99,
235,2,7,2023-12-10 13:00:00,https://teams.microsoft.com/l/meetup-join/4zlpmetljun8zv19ye49,6,,29.99,
