0,1009
7,1012
10,1001
11,1015
18,1009
21,1003
43,1008
46,1013
52,1020
53,1007
64,1005
65,1019
68,1010
69,1005
81,1005
103,1006
131,1004
132,1020
141,1020
166,1018
168,1004
171,1001
187,1013
188,1003
213,1018
214,1015
216,1003
226,1004
233,1020
234,1017
253,1007
257,1017
262,1018
263,1020
289,1001
297,1006
305,1018
311,1012
328,1002
336,1020
349,1001
366,1007
367,1010
383,1007
384,1015
402,1002
406,1010
407,1011
408,1005
415,1014
417,1001
418,1002
426,1008
446,1001
455,1005
456,1004
459,1006
481,1004
482,1013
483,1007
484,1001
485,1006
490,1011
518,1011
552,1009
555,1006
564,1007
566,1016
574,1002
596,1008
629,1010
630,1006
643,1015
646,1012
647,1007
650,1017
651,1012
660,1017
673,1002
681,1014
682,1007
690,1008
691,1004
714,1018
722,1010
729,1009
730,1010
731,1011
741,1012
761,1009
764,1001
765,1019
773,1016
774,1015
775,1016
797,1017
805,1013
811,1020
812,1013
815,1003
838,1018
842,1013
843,1012
844,1004
845,1016
851,1019
852,1006
860,1013
868,1018
878,1014
893,1003
910,1011
912,1020
916,1018
917,1004
930,1003
939,1010
952,1009
966,1008
977,1003
988,1011
989,1007
998,1011
1010,1008
1011,1012
1017,1019
1038,1020
1039,1002
1048,1020
1054,1018
1060,1014
1061,1012
1073,1002
1087,1002
1102,1015
1113,1006
1119,1004
1128,1009
1141,1003
1156,1019
1157,1017
1166,1018
1169,1017
1177,1007
1183,1007
1186,1006
1197,1009
1198,1005
1204,1003
1206,1001
1208,1014
1209,1005
1216,1017
1218,1010
1223,1016
1224,1014
1240,1015
1241,1005
1242,1020
1272,1005
1289,1007
1295,1005
1302,1016
1309,1012
1323,1007
1324,1001
1337,1006
1344,1017
1369,1001
1372,1007
1379,1014
1397,1008
1398,1010
1401,1015
1402,1010
1416,1014
1424,1010
1426,1004
1448,1007
1456,1015
1459,1011
1467,1005
1478,1005
1482,1005
1483,1018
1484,1019
1490,1017
1491,1002
1493,1005
1501,1007
1509,1012
1532,1003
1543,1001
1546,1016
1549,1019
1552,1006
1563,1002
1564,1002
1565,1014
1566,1007
1568,1005
1578,1011
1579,1013
1597,1020
1598,1009
1601,1014
1602,1017
1621,1018
1623,1008
1628,1015
1644,1005
1673,1010
1674,1015
1677,1013
1678,1004
1683,1010
1685,1019
1693,1006
1711,1007
1712,1012
1715,1008
1723,1004
1729,1002
1736,1018
1762,1010
1768,1016
1777,1002
1799,1006
1807,1005
1822,1008
1823,1020
1872,1010
1873,1019
1885,1012
1913,1017
1914,1012
1919,1017
1920,1004
1925,1019
1926,1002
1927,1013
1929,1011
1932,1008
1946,1015
1960,1007
1976,1001
1977,1018
1979,1017
1994,1015
2003,1020
2004,1005
2005,1011
2011,1003
2025,1017
2026,1012
2027,1016
2035,1008
2036,1014
2037,1016
2045,1007
2059,1014
2069,1015
2070,1020
2073,1013
2074,1007
2099,1016
2114,1015
2130,1012
