1,2024-01-21,2024-01-28,1,0,430,4
3,2024-01-21,2024-01-28,1,1,340,6
2,2024-06-21,2024-06-28,1,2,340,8
3,2025-01-21,2025-01-28,1,3,440,7
1,2025-01-21,2025-01-28,1,4,330,7
1,2024-01-21,2024-01-28,2,5,380,6
3,2024-01-21,2024-01-28,2,6,410,4
2,2024-06-21,2024-06-28,2,7,380,5
3,2025-01-21,2025-01-28,2,8,360,8
1,2025-01-21,2025-01-28,2,9,400,6
1,2024-01-21,2024-01-28,3,10,340,5
3,2024-01-21,2024-01-28,3,11,320,5
2,2024-06-21,2024-06-28,3,12,390,7
3,2025-01-21,2025-01-28,3,13,340,4
1,2025-01-21,2025-01-28,3,14,340,4
1,2024-01-21,2024-01-28,4,15,310,8
3,2024-01-21,2024-01-28,4,16,430,6
2,2024-06-21,2024-06-28,4,17,420,5
3,2025-01-21,2025-01-28,4,18,350,6
1,2025-01-21,2025-01-28,4,19,380,5
1,2024-01-21,2024-01-28,5,20,300,6
3,2024-01-21,2024-01-28,5,21,300,8
2,2024-06-21,2024-06-28,5,22,320,4
3,2025-01-21,2025-01-28,5,23,430,7
1,2025-01-21,2025-01-28,5,24,360,5
