1001,29.99,2025-01-25 18:30:00,6,NULL,1015,https://teams.microsoft.com/l/meetup-join/vyrrejxx7s36py26tamm,NULL
1002,29.99,2025-02-20 15:00:00,6,NULL,1017,https://teams.microsoft.com/l/meetup-join/in98z7ci36uriqvuc7rl,NULL
1003,99,2025-01-31 15:00:00,6,NULL,1001,https://teams.microsoft.com/l/meetup-join/dt0jpyjxfw973n7lbbow,NULL
1004,149,2024-11-29 15:00:00,6,NULL,1005,https://teams.microsoft.com/l/meetup-join/kzr43zmz1og4e4pp8ypd,https://vimeo.com/4htigtydqgbnq7mvyfukcduds00l8duloivwufcq
1005,249,2025-01-12 15:00:00,6,NULL,1016,https://teams.microsoft.com/l/meetup-join/qc3pjc7kpdjuscx1wp42,NULL
1006,249,2025-01-05 18:30:00,6,NULL,1016,https://teams.microsoft.com/l/meetup-join/blfhamske8zwpju9tja4,NULL
1007,99,2025-01-17 20:15:00,6,NULL,1004,https://teams.microsoft.com/l/meetup-join/vau2bhuwa65cf2tpquq8,NULL
1008,29.99,2025-01-06 20:15:00,6,NULL,1016,https://teams.microsoft.com/l/meetup-join/ak76kg3h0vetrudzfaem,NULL
1009,99,2025-02-10 20:15:00,6,NULL,1010,https://teams.microsoft.com/l/meetup-join/uza4oalgng4rhb98t5n5,NULL
1010,149,2025-01-31 18:30:00,6,NULL,1020,https://teams.microsoft.com/l/meetup-join/cahn7gm2gfjitj7h8a8y,NULL
